uid,event,ioi,period,pulses
077ea124db1a4a25-0,21,2,18,9
077ea124db1a4a25-0,22,2,18,9
077ea124db1a4a25-0,23,2,18,9
077ea124db1a4a25-0,24,2,18,9
077ea124db1a4a25-0,25,2,18,9
077ea124db1a4a25-0,26,2,18,9
077ea124db1a4a25-0,27,2,18,9
077ea124db1a4a25-0,28,2,18,9
6192bfffc18dc951-0,0,4,20,10
6192bfffc18dc951-0,1,1,20,10
6192bfffc18dc951-0,2,1,20,10
6192bfffc18dc951-0,3,3,20,10
6192bfffc18dc951-0,4,1,20,10
6192bfffc18dc951-0,5,1,20,10
6192bfffc18dc951-0,6,1,20,10
6192bfffc18dc951-0,7,1,20,10
6192bfffc18dc951-0,8,1,20,10
6192bfffc18dc951-0,9,4,20,10
6192bfffc18dc951-0,10,1,20,10
6192bfffc18dc951-0,11,1,20,10
6192bfffc18dc951-0,12,1,20,10
6192bfffc18dc951-0,13,1,20,10
6192bfffc18dc951-0,14,1,20,10
6192bfffc18dc951-0,15,1,20,10
6192bfffc18dc951-0,16,2,20,10
6192bfffc18dc951-0,17,2,20,10
6192bfffc18dc951-0,18,1,20,10
6192bfffc18dc951-0,19,1,20,10
6192bfffc18dc951-0,20,1,20,10
6192bfffc18dc951-0,21,1,20,10
6192bfffc18dc951-0,22,1,20,10
6192bfffc18dc951-0,23,1,20,10
6192bfffc18dc951-0,24,6,20,10
6192bfffc18dc951-0,25,3,20,10
6192bfffc18dc951-0,26,1,20,10
6192bfffc18dc951-0,27,1,20,10
6192bfffc18dc951-0,28,1,20,10
58b0a27a9a4173c5-0,0,6,18,9
58b0a27a9a4173c5-0,1,2,18,9
58b0a27a9a4173c5-0,2,3,18,9
58b0a27a9a4173c5-0,3,1,18,9
58b0a27a9a4173c5-0,4,6,18,9
58b0a27a9a4173c5-0,5,3,18,9
58b0a27a9a4173c5-0,6,1,18,9
58b0a27a9a4173c5-0,7,2,18,9
58b0a27a9a4173c5-0,8,2,18,9
58b0a27a9a4173c5-0,9,2,18,9
58b0a27a9a4173c5-0,10,2,18,9
58b0a27a9a4173c5-0,11,6,18,9
58b0a27a9a4173c5-0,12,2,18,9
58b0a27a9a4173c5-0,13,2,18,9
58b0a27a9a4173c5-0,14,2,18,9
58b0a27a9a4173c5-0,15,2,18,9
58b0a27a9a4173c5-0,16,2,18,9
58b0a27a9a4173c5-0,17,2,18,9
58b0a27a9a4173c5-0,18,2,18,9
58b0a27a9a4173c5-0,19,2,18,9
58b0a27a9a4173c5-0,20,2,18,9
58b0a27a9a4173c5-0,21,3,18,9
58b0a27a9a4173c5-0,22,1,18,9
58b0a27a9a4173c5-0,23,2,18,9
58b0a27a9a4173c5-0,24,2,18,9
58b0a27a9a4173c5-0,25,3,18,9
